city,centerlon,centerlat,diff_km,diff%
yili,82.127485,43.447256,0.33347965,0.80966323
urumqi,87.78256,43.733516,-0.006109713,0
guiyang,106.710733,26.839111,0.704931609,1.806328864
jining,116.741155,35.36912,0.267477366,0.734561755
sanya,109.418667,18.363454,2.42446308,6.670128156
yancheng,120.199905,33.512617,1.426077488,3.990263305
huai_an,118.970187,33.350112,2.396799228,6.722381773
taizhou1,120.061065,32.56924,0.596878749,1.713923873
yangzhou,119.479711,32.735359,2.746553166,7.886707036
shantou,116.59964,23.327761,2.118789926,6.147075897
zhaoqing,112.210424,23.53509,1.045242386,3.034179561
maoming,110.958513,22.007551,2.034601293,5.911798861
shijiazhuang,114.445446,38.131041,2.138951401,6.276036005
nantong,121.04888,32.181316,0.467233434,1.387493564
xuzhou,117.522638,34.354254,2.212400779,6.60054472
quanzhou,118.269507,25.189962,1.431424121,4.278095198
jiaxing,120.783309,30.619673,1.909293682,5.773738971
zhenjiang,119.458047,32.013633,3.650857544,11.1489313
xining,101.438713,36.825832,1.912527239,5.845744501
jiangmen,112.677816,22.265163,2.60751463,8.123735096
taiyuan,112.322139,37.959559,0.602345562,1.888101578
linyi,118.286251,35.308744,2.645707142,8.300418822
tianjin,117.347635,39.284229,2.258101257,7.099574879
luoyang,112.037836,34.291147,2.24768749,7.067828461
dongguan,113.88018,22.931704,0.72519354,2.282009209
wuhu,118.140049,31.160399,3.165879649,9.975307786
langfang,116.633878,39.260216,5.529485826,17.47981189
xiamen,118.124907,24.659124,2.833672863,8.963761838
tangshan,118.337978,39.710267,2.979283378,9.437512726
nanchang,116.023713,28.646644,2.328959261,7.379034745
zhuhai,113.36317,22.150337,5.418752172,17.22175605
quzhou,118.679766,28.931381,3.077752105,9.795448311
shaoguan,113.779491,24.817635,3.824553096,12.20725513
zhengzhou,113.477292,34.625642,3.663288986,11.69401647
zhongshan,113.398713,22.517217,1.529742208,4.886573043
ordos,108.634335,39.412584,0.984081668,3.145437489
dezhou,116.653177,37.249041,4.152611991,13.36922775
xingtai,114.822445,37.213015,3.609158168,11.6286127
foshan,112.949876,23.003965,1.410595603,4.553762028
ganzhou,115.277955,25.705738,1.662010382,5.373345044
nanning,108.46782,23.05439,1.453521174,4.701764617
wuxi,120.080328,31.521983,3.58313241,11.6325062
suqian,118.525758,33.782874,4.568175561,14.85843541
hohhot,111.504801,40.592196,6.006701472,19.56332871
huizhou,114.507602,23.232708,2.632541217,8.659875387
changzhou,119.641565,31.622973,5.660489302,18.65710467
taizhou,121.140073,28.754959,3.92922379,12.9720542
mianyang,104.70626,31.846265,1.8139831,6.024413412
zibo,118.059119,36.608282,5.386158336,17.89710187
lianyungang,119.145105,34.534947,1.429458098,4.752591777
zhangzhou,117.458498,24.329213,4.364317662,14.56866889
hefei,117.360493,31.760659,2.276133787,7.603872316
hengyang,112.579737,26.790704,2.669003029,9.018574782
zhanjiang,110.169193,21.073012,3.041855328,10.3237292
fuzhou,119.205465,26.045429,3.772255615,12.91226299
xinxiang,114.09562,35.263128,2.921672642,10.00842593
weifang,119.07809,36.551901,2.257616548,7.745572319
deyang,104.438271,31.126958,5.954988835,20.51242405
shaoxin,120.641093,29.732085,2.991373782,10.38758265
handan,114.54878,36.552852,2.826226654,9.862480367
chengdu,103.931693,30.651207,2.364832993,8.287974278
jinhua,119.956799,29.114331,4.609525416,16.21433648
hangzhou,119.475401,29.89723,2.940512677,10.34473899
wuhan,114.348377,30.621754,2.516040045,8.857880442
chuzhou,118.107844,32.542321,5.608756298,19.77028137
huzhou,119.87357,30.74252,2.399237758,8.469491098
tai_an,117.03094,36.001801,4.207719088,14.89184128
suzhou,120.660424,31.381434,3.131263845,11.09295909
zhangjiakou,115.038236,40.866547,2.037468224,7.342557366
nanyang,112.289363,33.04248,3.868211399,14.04110531
guangzhou,113.544242,23.328294,1.859060687,6.762664373
xianyang,108.394648,34.78411,1.565864006,5.712262077
qingyuan,112.880294,24.311422,0.45700707,1.671412548
dalian,122.196657,39.586303,4.160476452,15.25982192
kunming,102.874162,25.384166,1.934347915,7.127812952
liuzhou,109.375126,24.944482,3.26401159,12.04816872
nanjing,118.848164,31.925782,4.9921617,18.46079034
ningbo,121.482414,29.728408,4.733862603,17.70309688
cangzhou,116.771083,38.26945,5.837751281,21.8379791
datong,113.725711,39.901618,6.059502238,22.69454713
jinan,117.221277,36.637302,4.411542288,16.5271897
nanchong,106.207272,31.193469,4.61840192,17.34032704
wenzhou,120.467968,27.89279,3.798790858,14.28558253
shenzhen,114.141845,22.642652,2.752458634,10.37378588
guilin,110.518134,25.352283,2.144122866,8.113049882
baoding,115.177286,39.022701,4.123411845,15.88654807
changsha,113.158303,28.223787,3.243817315,12.4979157
yinchuan,106.347879,38.286237,3.534694105,13.67256513
yantai,120.8045,37.24469,5.446560488,21.32861185
hongkong,114.133498,22.376035,4.32097824,17.05387353
harbin,127.964618,45.639399,4.480056786,17.69297916
chongqing,107.879617,30.055029,2.797719814,11.16331986
qingdao,120.150856,36.447737,4.986210709,20.09490604
lanzhou,103.644952,36.353182,2.374248343,9.687655984
beijing,116.419926,40.18802,3.735543849,15.39391855
xi_an,108.796549,34.105793,3.465148295,14.5494647
haikou,110.424141,19.849972,2.66145374,11.25446195
shenyang,123.143322,42.096415,3.20384619,13.74311087
changchun,125.590163,44.285304,5.284874502,22.71906289
shanghai,121.486625,31.208625,4.981674593,22.5374374
